database_type,database,dataset,action,time
CouchDB,ASOS_2022,books,insert,8.341145992279053
CouchDB,ASOS_2022,countries-small,insert,5.090378522872925
CouchDB,ASOS_2022,covers,insert,111.30755233764648
CouchDB,ASOS_2022,data,insert,1.255122423171997
CouchDB,ASOS_2022,grades,insert,6.282196283340454
CouchDB,ASOS_2022,products,insert,0.2565004825592041
CouchDB,ASOS_2022,profiles,insert,32.627034187316895
CouchDB,ASOS_2022,restaurant,insert,56.80181574821472
CouchDB,ASOS_2022,students,insert,4.3861048221588135
CouchDB,ASOS_2022,books,read,0.8278367519378662
CouchDB,ASOS_2022,countries-small,read,0.6224837303161621
CouchDB,ASOS_2022,covers,read,8.33699345588684
CouchDB,ASOS_2022,data,read,0.09752678871154785
CouchDB,ASOS_2022,data,update,1.2528002262115479
CouchDB,ASOS_2022,grades,read,0.4604790210723877
CouchDB,ASOS_2022,products,read,0.01959824562072754
CouchDB,ASOS_2022,profiles,read,2.505847692489624
CouchDB,ASOS_2022,restaurant,read,4.313043117523193
CouchDB,ASOS_2022,students,read,0.3297438621520996
CouchDB,ASOS_2022,books,delete,0.06225132942199707
CouchDB,ASOS_2022,countries-small,delete,0.05103254318237305
CouchDB,ASOS_2022,covers,delete,0.07035303115844727
CouchDB,ASOS_2022,data,delete,0.054285287857055664
CouchDB,ASOS_2022,grades,delete,0.0552363395690918
CouchDB,ASOS_2022,products,delete,0.05558133125305176
CouchDB,ASOS_2022,profiles,delete,0.07075095176696777
CouchDB,ASOS_2022,restaurant,delete,0.09379053115844727
CouchDB,ASOS_2022,students,delete,0.09919500350952148
CouchDB,ASOS_2022,books,insert,8.40665340423584
CouchDB,ASOS_2022,countries-small,insert,5.626262903213501
CouchDB,ASOS_2022,covers,insert,110.89927458763123
CouchDB,ASOS_2022,data,insert,1.290177822113037
CouchDB,ASOS_2022,grades,insert,6.801925420761108
CouchDB,ASOS_2022,products,insert,0.29271650314331055
CouchDB,ASOS_2022,profiles,insert,32.55509305000305
CouchDB,ASOS_2022,restaurant,insert,56.04897117614746
CouchDB,ASOS_2022,students,insert,4.475923776626587
CouchDB,ASOS_2022,books,read,0.8586695194244385
CouchDB,ASOS_2022,countries-small,read,0.6633796691894531
CouchDB,ASOS_2022,covers,read,8.463684558868408
CouchDB,ASOS_2022,data,read,0.10442614555358887
CouchDB,ASOS_2022,data,update,1.3936595916748047
CouchDB,ASOS_2022,grades,read,0.49098777770996094
CouchDB,ASOS_2022,products,read,0.023425817489624023
CouchDB,ASOS_2022,profiles,read,2.4970386028289795
CouchDB,ASOS_2022,restaurant,read,4.2452075481414795
CouchDB,ASOS_2022,students,read,0.3444545269012451
CouchDB,ASOS_2022,books,delete,0.05728435516357422
CouchDB,ASOS_2022,countries-small,delete,0.06617546081542969
CouchDB,ASOS_2022,covers,delete,0.048982858657836914
CouchDB,ASOS_2022,data,delete,0.04827308654785156
CouchDB,ASOS_2022,grades,delete,0.054099321365356445
CouchDB,ASOS_2022,products,delete,0.06972360610961914
CouchDB,ASOS_2022,profiles,delete,0.0838468074798584
CouchDB,ASOS_2022,restaurant,delete,0.06873178482055664
CouchDB,ASOS_2022,students,delete,0.06948471069335938
CouchDB,ASOS_2022,books,insert,8.545690774917603
CouchDB,ASOS_2022,countries-small,insert,5.1560258865356445
CouchDB,ASOS_2022,covers,insert,111.84579491615295
CouchDB,ASOS_2022,data,insert,1.2694902420043945
CouchDB,ASOS_2022,grades,insert,5.6563074588775635
CouchDB,ASOS_2022,products,insert,0.21747589111328125
CouchDB,ASOS_2022,profiles,insert,33.46903991699219
CouchDB,ASOS_2022,restaurant,insert,55.56277823448181
CouchDB,ASOS_2022,students,insert,4.362088441848755
CouchDB,ASOS_2022,books,read,0.895148515701294
CouchDB,ASOS_2022,countries-small,read,0.647956132888794
CouchDB,ASOS_2022,covers,read,8.361491203308105
CouchDB,ASOS_2022,data,read,0.102691650390625
CouchDB,ASOS_2022,data,update,1.4826903343200684
CouchDB,ASOS_2022,grades,read,0.4660015106201172
CouchDB,ASOS_2022,products,read,0.02139139175415039
CouchDB,ASOS_2022,profiles,read,2.507233142852783
CouchDB,ASOS_2022,restaurant,read,4.229675769805908
CouchDB,ASOS_2022,students,read,0.33102941513061523
CouchDB,ASOS_2022,books,delete,0.10756969451904297
CouchDB,ASOS_2022,countries-small,delete,0.06246638298034668
CouchDB,ASOS_2022,covers,delete,0.0897376537322998
CouchDB,ASOS_2022,data,delete,0.06873416900634766
CouchDB,ASOS_2022,grades,delete,0.08086752891540527
CouchDB,ASOS_2022,products,delete,0.08768129348754883
CouchDB,ASOS_2022,profiles,delete,0.07614898681640625
CouchDB,ASOS_2022,restaurant,delete,0.0875697135925293
CouchDB,ASOS_2022,students,delete,0.06831192970275879
CouchDB,ASOS_2022,books,insert,8.804532289505005
CouchDB,ASOS_2022,countries-small,insert,5.2030487060546875
CouchDB,ASOS_2022,covers,insert,110.94255328178406
CouchDB,ASOS_2022,data,insert,1.2297627925872803
CouchDB,ASOS_2022,grades,insert,5.872467517852783
CouchDB,ASOS_2022,products,insert,0.24126005172729492
CouchDB,ASOS_2022,profiles,insert,33.79319429397583
CouchDB,ASOS_2022,restaurant,insert,55.76128816604614
CouchDB,ASOS_2022,students,insert,4.365787029266357
CouchDB,ASOS_2022,books,read,0.9694972038269043
CouchDB,ASOS_2022,countries-small,read,0.61924147605896
CouchDB,ASOS_2022,covers,read,8.312777519226074
CouchDB,ASOS_2022,data,read,0.09734344482421875
CouchDB,ASOS_2022,data,update,1.143855094909668
CouchDB,ASOS_2022,grades,read,0.4770162105560303
CouchDB,ASOS_2022,products,read,0.01820659637451172
CouchDB,ASOS_2022,profiles,read,2.5115866661071777
CouchDB,ASOS_2022,restaurant,read,4.309002161026001
CouchDB,ASOS_2022,students,read,0.3428342342376709
CouchDB,ASOS_2022,books,delete,0.09498262405395508
CouchDB,ASOS_2022,countries-small,delete,0.08139657974243164
CouchDB,ASOS_2022,covers,delete,0.06930255889892578
CouchDB,ASOS_2022,data,delete,0.05428290367126465
CouchDB,ASOS_2022,grades,delete,0.058168649673461914
CouchDB,ASOS_2022,products,delete,0.06951284408569336
CouchDB,ASOS_2022,profiles,delete,0.07959961891174316
CouchDB,ASOS_2022,restaurant,delete,0.07794928550720215
CouchDB,ASOS_2022,students,delete,0.0790719985961914
CouchDB,ASOS_2022,books,insert,8.767343282699585
CouchDB,ASOS_2022,countries-small,insert,5.547319173812866
CouchDB,ASOS_2022,covers,insert,110.66193866729736
CouchDB,ASOS_2022,data,insert,1.2044577598571777
CouchDB,ASOS_2022,grades,insert,5.600734233856201
CouchDB,ASOS_2022,products,insert,0.21817994117736816
CouchDB,ASOS_2022,profiles,insert,33.2367787361145
CouchDB,ASOS_2022,restaurant,insert,56.55498027801514
CouchDB,ASOS_2022,students,insert,4.292191505432129
CouchDB,ASOS_2022,books,read,0.856330394744873
CouchDB,ASOS_2022,countries-small,read,0.6579959392547607
CouchDB,ASOS_2022,covers,read,8.503129243850708
CouchDB,ASOS_2022,data,read,0.09852099418640137
CouchDB,ASOS_2022,data,update,1.524839162826538
CouchDB,ASOS_2022,grades,read,0.460740327835083
CouchDB,ASOS_2022,products,read,0.019360780715942383
CouchDB,ASOS_2022,profiles,read,2.492861747741699
CouchDB,ASOS_2022,restaurant,read,4.190475225448608
CouchDB,ASOS_2022,students,read,0.3308863639831543
CouchDB,ASOS_2022,books,delete,0.0566561222076416
CouchDB,ASOS_2022,countries-small,delete,0.04817652702331543
CouchDB,ASOS_2022,covers,delete,0.0671839714050293
CouchDB,ASOS_2022,data,delete,0.04868054389953613
CouchDB,ASOS_2022,grades,delete,0.048543453216552734
CouchDB,ASOS_2022,products,delete,0.054750919342041016
CouchDB,ASOS_2022,profiles,delete,0.05583524703979492
CouchDB,ASOS_2022,restaurant,delete,0.07259225845336914
CouchDB,ASOS_2022,students,delete,0.07155942916870117
CouchDB,ASOS_2022,books,insert,8.166923761367798
CouchDB,ASOS_2022,countries-small,insert,5.416036367416382
CouchDB,ASOS_2022,covers,insert,111.8070547580719
CouchDB,ASOS_2022,data,insert,1.2499639987945557
CouchDB,ASOS_2022,grades,insert,5.667222499847412
CouchDB,ASOS_2022,products,insert,0.21574068069458008
CouchDB,ASOS_2022,profiles,insert,32.787994623184204
CouchDB,ASOS_2022,restaurant,insert,56.57900023460388
CouchDB,ASOS_2022,students,insert,4.311223983764648
CouchDB,ASOS_2022,books,read,1.0252716541290283
CouchDB,ASOS_2022,countries-small,read,0.8280277252197266
CouchDB,ASOS_2022,covers,read,8.51956844329834
CouchDB,ASOS_2022,data,read,0.10507369041442871
CouchDB,ASOS_2022,data,update,1.2452619075775146
CouchDB,ASOS_2022,grades,read,0.4798574447631836
CouchDB,ASOS_2022,products,read,0.018132686614990234
CouchDB,ASOS_2022,profiles,read,2.518484592437744
CouchDB,ASOS_2022,restaurant,read,4.283642768859863
CouchDB,ASOS_2022,students,read,0.3598508834838867
CouchDB,ASOS_2022,books,delete,0.05727887153625488
CouchDB,ASOS_2022,countries-small,delete,0.048775434494018555
CouchDB,ASOS_2022,covers,delete,0.048026323318481445
CouchDB,ASOS_2022,data,delete,0.04804873466491699
CouchDB,ASOS_2022,grades,delete,0.06661701202392578
CouchDB,ASOS_2022,products,delete,0.04823589324951172
CouchDB,ASOS_2022,profiles,delete,0.04854583740234375
CouchDB,ASOS_2022,restaurant,delete,0.07750749588012695
CouchDB,ASOS_2022,students,delete,0.07668781280517578
CouchDB,ASOS_2022,books,insert,8.830095529556274
CouchDB,ASOS_2022,countries-small,insert,5.3928914070129395
CouchDB,ASOS_2022,covers,insert,108.99402856826782
CouchDB,ASOS_2022,data,insert,1.3758468627929688
CouchDB,ASOS_2022,grades,insert,6.202268123626709
CouchDB,ASOS_2022,products,insert,0.23486876487731934
CouchDB,ASOS_2022,profiles,insert,33.67555499076843
CouchDB,ASOS_2022,restaurant,insert,55.26328635215759
CouchDB,ASOS_2022,students,insert,4.488780736923218
CouchDB,ASOS_2022,books,read,0.9623754024505615
CouchDB,ASOS_2022,countries-small,read,0.6472775936126709
CouchDB,ASOS_2022,covers,read,8.409904718399048
CouchDB,ASOS_2022,data,read,0.0984034538269043
CouchDB,ASOS_2022,data,update,1.2649438381195068
CouchDB,ASOS_2022,grades,read,0.4927182197570801
CouchDB,ASOS_2022,products,read,0.020505666732788086
CouchDB,ASOS_2022,profiles,read,2.621737003326416
CouchDB,ASOS_2022,restaurant,read,4.270886182785034
CouchDB,ASOS_2022,students,read,0.3264949321746826
CouchDB,ASOS_2022,books,delete,0.06902289390563965
CouchDB,ASOS_2022,countries-small,delete,0.056690216064453125
CouchDB,ASOS_2022,covers,delete,0.05849003791809082
CouchDB,ASOS_2022,data,delete,0.05691075325012207
CouchDB,ASOS_2022,grades,delete,0.05818057060241699
CouchDB,ASOS_2022,products,delete,0.09688735008239746
CouchDB,ASOS_2022,profiles,delete,0.0733022689819336
CouchDB,ASOS_2022,restaurant,delete,0.08393239974975586
CouchDB,ASOS_2022,students,delete,0.08580207824707031
CouchDB,ASOS_2022,books,insert,8.708553075790405
CouchDB,ASOS_2022,countries-small,insert,5.439356088638306
CouchDB,ASOS_2022,covers,insert,111.21109795570374
CouchDB,ASOS_2022,data,insert,1.1711177825927734
CouchDB,ASOS_2022,grades,insert,5.729079008102417
CouchDB,ASOS_2022,products,insert,0.2336740493774414
CouchDB,ASOS_2022,profiles,insert,33.13145875930786
CouchDB,ASOS_2022,restaurant,insert,56.06020760536194
CouchDB,ASOS_2022,students,insert,4.487457990646362
CouchDB,ASOS_2022,books,read,0.8613219261169434
CouchDB,ASOS_2022,countries-small,read,0.480405330657959
CouchDB,ASOS_2022,covers,read,8.338670492172241
CouchDB,ASOS_2022,data,read,0.0987541675567627
CouchDB,ASOS_2022,data,update,1.2146055698394775
CouchDB,ASOS_2022,grades,read,0.4564855098724365
CouchDB,ASOS_2022,products,read,0.020205259323120117
CouchDB,ASOS_2022,profiles,read,2.5459728240966797
CouchDB,ASOS_2022,restaurant,read,4.236452341079712
CouchDB,ASOS_2022,students,read,0.326763391494751
CouchDB,ASOS_2022,books,delete,0.05687308311462402
CouchDB,ASOS_2022,countries-small,delete,0.0484774112701416
CouchDB,ASOS_2022,covers,delete,0.04808235168457031
CouchDB,ASOS_2022,data,delete,0.047952890396118164
CouchDB,ASOS_2022,grades,delete,0.04834794998168945
CouchDB,ASOS_2022,products,delete,0.04816460609436035
CouchDB,ASOS_2022,profiles,delete,0.06594204902648926
CouchDB,ASOS_2022,restaurant,delete,0.06374764442443848
CouchDB,ASOS_2022,students,delete,0.06844687461853027
CouchDB,ASOS_2022,books,insert,9.217570304870605
CouchDB,ASOS_2022,countries-small,insert,5.477696180343628
CouchDB,ASOS_2022,covers,insert,110.23574805259705
CouchDB,ASOS_2022,data,insert,1.4208834171295166
CouchDB,ASOS_2022,grades,insert,5.720651626586914
CouchDB,ASOS_2022,products,insert,0.21897268295288086
CouchDB,ASOS_2022,profiles,insert,32.8930778503418
CouchDB,ASOS_2022,restaurant,insert,54.88627552986145
CouchDB,ASOS_2022,students,insert,4.2464330196380615
CouchDB,ASOS_2022,books,read,0.9207859039306641
CouchDB,ASOS_2022,countries-small,read,0.7031023502349854
CouchDB,ASOS_2022,covers,read,8.380064010620117
CouchDB,ASOS_2022,data,read,0.09839129447937012
CouchDB,ASOS_2022,data,update,1.1477458477020264
CouchDB,ASOS_2022,grades,read,0.46352553367614746
CouchDB,ASOS_2022,products,read,0.01920175552368164
CouchDB,ASOS_2022,profiles,read,2.5034303665161133
CouchDB,ASOS_2022,restaurant,read,4.246870756149292
CouchDB,ASOS_2022,students,read,0.32242512702941895
CouchDB,ASOS_2022,books,delete,0.0572504997253418
CouchDB,ASOS_2022,countries-small,delete,0.04841494560241699
CouchDB,ASOS_2022,covers,delete,0.06662940979003906
CouchDB,ASOS_2022,data,delete,0.04888653755187988
CouchDB,ASOS_2022,grades,delete,0.048931121826171875
CouchDB,ASOS_2022,products,delete,0.04819655418395996
CouchDB,ASOS_2022,profiles,delete,0.049082279205322266
CouchDB,ASOS_2022,restaurant,delete,0.0683140754699707
CouchDB,ASOS_2022,students,delete,0.06936454772949219
CouchDB,ASOS_2022,books,insert,8.390472650527954
CouchDB,ASOS_2022,countries-small,insert,5.560661554336548
CouchDB,ASOS_2022,covers,insert,111.33784174919128
CouchDB,ASOS_2022,data,insert,1.37841796875
CouchDB,ASOS_2022,grades,insert,6.091452121734619
CouchDB,ASOS_2022,products,insert,0.21968698501586914
CouchDB,ASOS_2022,profiles,insert,32.957417488098145
CouchDB,ASOS_2022,restaurant,insert,55.98246192932129
CouchDB,ASOS_2022,students,insert,4.067113637924194
CouchDB,ASOS_2022,books,read,0.9226922988891602
CouchDB,ASOS_2022,countries-small,read,0.44142746925354004
CouchDB,ASOS_2022,covers,read,8.434324741363525
CouchDB,ASOS_2022,data,read,0.09749484062194824
CouchDB,ASOS_2022,data,update,1.184448480606079
CouchDB,ASOS_2022,grades,read,0.46515583992004395
CouchDB,ASOS_2022,products,read,0.017211198806762695
CouchDB,ASOS_2022,profiles,read,2.5400280952453613
CouchDB,ASOS_2022,restaurant,read,4.301147937774658
CouchDB,ASOS_2022,students,read,0.3217582702636719
CouchDB,ASOS_2022,books,delete,0.05735516548156738
CouchDB,ASOS_2022,countries-small,delete,0.04860186576843262
CouchDB,ASOS_2022,covers,delete,0.06786322593688965
CouchDB,ASOS_2022,data,delete,0.04855179786682129
CouchDB,ASOS_2022,grades,delete,0.07756948471069336
CouchDB,ASOS_2022,products,delete,0.08265972137451172
CouchDB,ASOS_2022,profiles,delete,0.08728718757629395
CouchDB,ASOS_2022,restaurant,delete,0.09635019302368164
CouchDB,ASOS_2022,students,delete,0.09099030494689941
CouchDB,ASOS_2022,books,insert,8.820138931274414
CouchDB,ASOS_2022,countries-small,insert,5.1468212604522705
CouchDB,ASOS_2022,covers,insert,111.06850051879883
CouchDB,ASOS_2022,data,insert,1.5090436935424805
CouchDB,ASOS_2022,grades,insert,6.096364736557007
CouchDB,ASOS_2022,products,insert,0.29018640518188477
CouchDB,ASOS_2022,profiles,insert,32.97247552871704
CouchDB,ASOS_2022,restaurant,insert,55.267369508743286
CouchDB,ASOS_2022,students,insert,4.400598764419556
CouchDB,ASOS_2022,books,read,0.9230742454528809
CouchDB,ASOS_2022,countries-small,read,0.6642024517059326
